QueryNumber;DocNumber;DocVotes
1;139;1
1;151;1
1;166;1
1;311;1
1;370;1
1;392;1
1;439;1
1;440;1
1;441;1
1;454;1
1;461;1
1;502;1
1;503;1
1;505;1
1;520;1
1;522;1
1;526;1
1;527;1
1;533;1
1;593;1
1;619;1
1;737;1
1;742;1
1;789;1
1;827;1
1;835;1
1;861;1
1;875;1
1;891;1
1;921;1
1;922;1
1;1175;1
1;1185;1
1;1222;1
2;169;1
2;434;1
2;454;1
2;498;1
2;499;1
2;592;1
2;875;1
3;23;1
3;40;1
3;139;1
3;190;1
3;221;1
3;246;1
3;309;1
3;311;1
3;325;1
3;345;1
3;347;1
3;356;1
3;370;1
3;374;1
3;375;1
3;439;1
3;440;1
3;454;1
3;515;1
3;520;1
3;524;1
3;526;1
3;527;1
3;533;1
3;535;1
3;560;1
3;561;1
3;571;1
3;584;1
3;604;1
3;623;1
3;633;1
3;733;1
3;742;1
3;854;1
3;856;1
3;950;1
3;967;1
3;1144;1
3;1161;1
3;1172;1
3;1175;1
3;1196;1
4;503;1
4;538;1
4;539;1
4;540;1
4;553;1
4;604;1
4;669;1
4;711;1
4;876;1
5;23;1
5;47;1
5;50;1
5;60;1
5;114;1
5;132;1
5;135;1
5;139;1
5;151;1
5;169;1
5;189;1
5;190;1
5;197;1
5;200;1
5;226;1
5;256;1
5;265;1
5;297;1
5;298;1
5;299;1
5;311;1
5;312;1
5;325;1
5;333;1
5;343;1
5;347;1
5;349;1
5;369;1
5;370;1
5;371;1
5;374;1
5;386;1
5;392;1
5;410;1
5;420;1
5;427;1
5;428;1
5;430;1
5;434;1
5;437;1
5;439;1
5;440;1
5;441;1
5;450;1
5;461;1
5;465;1
5;478;1
5;496;1
5;497;1
5;498;1
5;499;1
5;500;1
5;501;1
5;502;1
5;503;1
5;505;1
5;511;1
5;513;1
5;516;1
5;520;1
5;524;1
5;531;1
5;533;1
5;549;1
5;553;1
5;559;1
5;561;1
5;568;1
5;590;1
5;592;1
5;593;1
5;604;1
5;605;1
5;633;1
5;669;1
5;701;1
5;702;1
5;710;1
5;711;1
5;722;1
5;724;1
5;729;1
5;731;1
5;733;1
5;750;1
5;761;1
5;763;1
5;772;1
5;779;1
5;788;1
5;805;1
5;843;1
5;845;1
5;856;1
5;857;1
5;861;1
5;864;1
5;867;1
5;875;1
5;876;1
5;888;1
5;889;1
5;895;1
5;925;1
5;935;1
5;943;1
5;944;1
5;975;1
5;980;1
5;982;1
5;990;1
5;1000;1
5;1019;1
5;1038;1
5;1040;1
5;1064;1
5;1076;1
5;1080;1
5;1088;1
5;1091;1
5;1092;1
5;1093;1
5;1098;1
5;1144;1
5;1156;1
5;1175;1
